Barcode,Original (List) Price,Sale Price,Stock
4053057256353,,,1
886955289963,,,1
886955851689,,,1
886955851856,,,1
885431000092,,,4
885431292725,,,1
885431292718,,,7
885431293494,,,11
885431293524,,,6
885431293487,,,5
885431293531,,,10
885431293517,,,13
885431294385,,,9
885431294392,,,6
883223567853,,,3
883233413898,,,4
883233413904,,,3
883233413911,,,3
883233413935,,,10
883233413942,,,2
883233413959,,,2
719106169466,,,145
719106169633,,,16
719106169695,,,156
719106169725,,,101
8719477211117,,,1
5055259604924,,,13
5055259605235,,,69
885431420241,,,28
5055259605242,,,1
5055259604948,,,1
5055259605259,,,2
885431420302,,,1
5055259605273,,,2
190108084313,,,2
190108087338,,,3
190108087345,,,3
190108087352,,,4
190108087369,,,3
190108087376,,,3
190108086034,,,3
190108086041,,,4
190108086058,,,3
190108086065,,,2
190108086072,,,3
190108086089,,,1
190108140651,,,1
190108140668,,,2
190108140675,,,2
190108140682,,,2
190108140743,,,4
190108140750,,,4
190108140767,,,4
190108140774,,,4
190108140781,,,3
190108140798,,,1
886955868793,,,1
886955868809,,,1
886955868816,,,1
886614236659,,,14
886614236666,,,141
886614236697,,,75
886614236703,,,41
886614236796,,,11
886614236840,,,15
886614236864,,,18
886614236871,,,28
886947030856,,,401
886947030863,,,129
886947030870,,,13
886947030887,,,196
886947155313,,,1
886947155344,,,2
886947155337,,,1
887140237653,,,58
887493375408,,,14
887496966214,,,16
885429051471,,,3
885429051488,,,9
885429051495,,,4
885429051501,,,4
885429051518,,,3
885429051525,,,5
885429051532,,,13
885429051549,,,15
884991414561,,,5
884991414721,,,29
888495364117,,,1
192410908080,,,3
192410908097,,,4
192410908103,,,4
192410908141,,,3
192410908158,,,1
888715369816,,,3
888715623055,,,2
888715779981,,,1
888715779967,,,1
888715781465,,,2
888715781458,,,10
888715781588,,,1
888715781564,,,4
888715781557,,,1
888716539263,,,1
888716539744,,,2
888716540641,,,1
888716541242,,,1
888716541570,,,1
888716541655,,,1
888716541679,,,2
888716541846,,,3
888716541945,,,2
888716542041,,,1
888716542546,,,1
888716543253,,,1
888716543642,,,1
888716544045,,,2
888716544076,,,1
888716544267,,,3
888716544243,,,1
888716544656,,,1
888716544618,,,1
888716544748,,,3
888716544779,,,1
888716545363,,,1
888716545554,,,2
888716545578,,,1
888716545806,,,3
888716546049,,,3
888716546001,,,1
888716546377,,,2
888716549200,,,1
888716549248,,,2
888716549279,,,2
888716550107,,,2
888716550251,,,1
888716550275,,,1
888716550305,,,1
888716550367,,,2
888716550350,,,2
888716550343,,,2
888716550374,,,1
888716726670,,,6
888716726663,,,34
888716726656,,,6
889077342233,,,1
889078801579,,,1
889078801760,,,1
889078802743,,,1
889078805935,,,1
889078807663,,,1
889352233232,,,1
889353156363,,,2
889353156370,,,28
889353156387,,,39
889353895446,,,1
889353895842,,,1
889353895828,,,1
889353896146,,,1
889353896931,,,1
889353897747,,,1
889353898263,,,1
194715081130,,,3
194715081208,,,2
194715080911,,,3
194715080928,,,4
194715081017,,,3
194715080973,,,3
194715080980,,,1
194715081246,,,2
194715081314,,,3
889355011363,,,1
889355178448,,,3
889355178660,,,2
889355178684,,,2
889355178691,,,6
889355178752,,,1
889355178936,,,1
889355178943,,,3
889355178967,,,3
889355178974,,,2
889355179155,,,1
889355936260,,,134
889355936277,,,263
889355947518,,,7
889355947532,,,191
889355995885,,,43
889674904513,,,51
889675153392,,,1
889675162097,,,1
889675162998,,,1
889675164190,,,1
889675624281,,,1
889675921038,,,1
889675921632,,,1
889675951523,,,531
889675951530,,,42
889675951547,,,30
889675951554,,,37
889676278537,,,1
889676278636,,,1
889676351520,,,1
889676352312,,,3
889676352350,,,1
889676722344,,,1
889676735993,,,1
889676823867,,,157
889677102817,,,1
889677784822,,,2
889677784853,,,6
195501937037,,,1
195501937839,,,1
195503352388,,,1
195503353286,,,1
195503353989,,,1
195503363384,,,1
195503363582,,,1
195503365111,,,1
190290075823,,,1
190291618937,,,1
190291621692,,,1
190291756387,,,1
195719880538,,,1
190293847564,,,1
190293847748,,,1
190293848295,,,1
190293848400,,,1
190293848424,,,1
190293871231,,,1
190293871446,,,1
190293871552,,,1
190293871743,,,1
190293927952,,,1
195719881986,,,2
195719881931,,,2
195719882532,,,2
195719882549,,,3
195719883409,,,3
195719883416,,,3
195719883423,,,3
195719883461,,,3
195719883478,,,3
196565878915,,,1
196565878984,,,1
190528004588,,,1
190528948523,,,1
190529107332,,,19
190529472102,,,1
190529480329,,,1
190531908057,,,1
886133362891,,,1
886133397244,,,1
886133397251,,,1
886133402863,,,1
886133402887,,,1
886133412374,,,1
886133419083,,,1
886133420836,,,1
886133256961,,,1
885430014090,,,206
885430014106,,,187
885430014410,,,1
885430014472,,,4
885430014465,,,8
885430014496,,,71
885430014502,,,33
885430069618,,,22
885430074346,,,5
885430074360,,,113
885430074452,,,36
885430091381,,,4
885430104647,,,5
884991352801,,,1
884991502787,,,1
884991260373,,,1
196565656735,,,1
196565656667,,,1
191322722944,,,1
191322722951,,,1
191322722975,,,1
191322723118,,,1
191322724238,,,1
191322724368,,,1
191322724375,,,1
191322724399,,,1
191322724719,,,1
191322724726,,,1
191322724788,,,1
191322724825,,,1
191322724863,,,1
191322725273,,,1
191322725488,,,1
191323143731,,,1
887351287850,,,23
191715813631,,,1
191715988803,,,1
191715988810,,,1
191716465051,,,1
191716465044,,,2
191716465037,,,4
191716465068,,,3
191716465099,,,1
191718304716,,,2
191718304709,,,4
191718304723,,,1
191718305898,,,3
191718305959,,,1
191718306109,,,1
191718306093,,,1
191718307014,,,1
192092658969,,,1
192093008855,,,12
192093008862,,,140
197634317953,,,2
197634317960,,,3
197634318004,,,2
197634318011,,,4
197634318028,,,2
192093838049,,,35
192093838063,,,60
192093838070,,,99
192095244459,,,2
197634327853,,,3
197634327914,,,2
197634331713,,,1
197634331676,,,1
197634331669,,,3
197634331805,,,1
197634331812,,,2
192525658290,,,1
192526666218,,,1
192526671519,,,1
192526673612,,,1
192526850211,,,1
192524981634,,,1
192527369897,,,1
192527370435,,,1
192527370442,,,1
192527370473,,,1
192527370503,,,1
192527370565,,,1
192859095952,,,1
192857483775,,,1
192858631533,,,44
192858780705,,,1
192858781412,,,1
192858781382,,,1
192858781375,,,1
192858782808,,,2
192858895737,,,5
192858895720,,,3
192858896338,,,1
192858896925,,,2
192858897038,,,13
192859090155,,,36
192859090162,,,2
192859090230,,,1
192859090544,,,3
192859090520,,,4
192859091626,,,9
192859091633,,,6
192860135203,,,46
193325690657,,,1
193325690848,,,1
193325753284,,,1
193325753895,,,1
193325753901,,,1
193325755110,,,1
193325755882,,,1
193325884933,,,7
193325885329,,,12
193325885404,,,1
193325885435,,,34
193325885442,,,22
193325885466,,,3
193325885473,,,8
193325885497,,,2
193325885503,,,15
193325999224,,,1
193326680633,,,46
886956320405,,,1
193648049606,,,1
193648248771,,,1
193648625152,,,6
193648625183,,,1
193648625206,,,298
193648810855,,,3
193648810862,,,2
193648810879,,,52
193650537795,,,102
193650537788,,,11
193650537832,,,54
193650537849,,,252
193650537856,,,230
193650537863,,,194
193650537870,,,88
193650537887,,,86
193650537986,,,2
193650636924,,,1
193650909905,,,37
193650910284,,,47
193650910666,,,56
193650911991,,,35
193650912011,,,59
194087267361,,,1
194087489121,,,36
194087489138,,,7
194087489237,,,7
194088279479,,,4
194089023606,,,2
194089141485,,,1
194090405576,,,65
194455239938,,,61
194455239952,,,21
194455921727,,,29
194457228275,,,1
194457228299,,,1
194457425544,,,102
194457427081,,,119
194457427128,,,79
194457429856,,,164
194789643340,,,19
194789643357,,,22
194790097071,,,1
194790986078,,,66
194790986108,,,162
194790986115,,,40
194790986214,,,6
194790986344,,,41
194790986368,,,69
195131197931,,,1
195131197924,,,6
195131197955,,,3
195131197917,,,2
195131197962,,,7
195131197948,,,7
195131197986,,,1
195131198129,,,1
195131198150,,,2
195131198143,,,3
195131198228,,,1
195131198259,,,5
195131198242,,,2
195131198341,,,9
195131198372,,,2
195131198389,,,1
195131198525,,,4
195131198556,,,6
195131198518,,,2
195131198549,,,1
195131972279,,,1
195599548955,,,3
195599548979,,,2
195599548986,,,6
195599549006,,,3
195599549013,,,2
195599549020,,,3
195599549044,,,5
195599549181,,,6
196172395485,,,1
196172397267,,,1
196172398448,,,1
196172399643,,,1
196172400844,,,1
196175017797,,,1
196175018015,,,1
196175018091,,,2
196175018084,,,1
196313105157,,,1
196315180961,,,6
196315180978,,,17
196315180992,,,8
196315188103,,,26
196315188110,,,6
196315188158,,,1
196315188424,,,129
196315188431,,,7
196315188479,,,22
886951553105,,,1
197371298829,,,8
197371298836,,,50
197371298843,,,36
886954519665,,,1
886954519689,,,1
886955005044,,,2
886955715059,,,1
886955585331,,,1
886955585591,,,1
673106178685,,,12
190182720978,,,12
199419436323,,,1
886956154314,,,1
886956219723,,,1
886956222709,,,1
886956233712,,,1
886956233897,,,1
886956134651,,,1
195000721588,,,36
191812967657,,,24
195000540578,,,24
197172392825,,,36
191812926524,,,18
196895332002,,,18
191119146106,,,12
191119824028,,,24
195000525964,,,24
190182165106,,,12
192309815314,,,6
193234748425,,,22
193234731083,,,23
197172576058,,,17
888753233438,,,1
190182525962,,,48
193234933708,,,36
190182165137,,,18
53838490994,,,24
199246112285,,,23
4055262039547,,,1
4055262039592,,,1
4055262039622,,,1
4053987616340,,,1
4053987616388,,,1
4053987616401,,,1
4053987616425,,,1
4053987616432,,,1
5206432200949,,,2
5206432200970,,,3
5206432201007,,,2
5206432201038,,,2
8713537871204,,,2
8713537871235,,,2
8713537871167,,,2
5206432204497,,,1
5206432204527,,,1
5206432204558,,,1
8713537466103,,,1
8713537913782,,,2
8713537913799,,,3
8713537466110,,,1
8713537466127,,,2
8713537391801,,,1
8713537391825,,,2
8713537391924,,,1
8713537391931,,,2
8713537391948,,,3
887767707119,,,1
887767707126,,,1
4053985965860,,,1
4053985965877,,,1
4053985966836,,,1
4053985965891,,,1
4053985966850,,,1
4053985965914,,,1
4053987717634,,,1
4053987717658,,,1
4053987871893,,,1
4053987871985,,,1
4053987804839,,,2
4053987804853,,,1
4053987804860,,,1
4053987812735,,,1
4053987812995,,,1
4053987813022,,,1
4053987813046,,,1
4053987813077,,,2
4053987813084,,,1
4053987992642,,,1
4053987992666,,,1
4053987992673,,,1
4053987992697,,,1
4053987992703,,,2
4053987992727,,,1
5206432206095,,,1
5206432206125,,,1
5206432206064,,,1
5206432206170,,,1
5206432206224,,,1
5206432206231,,,1
5206432206255,,,1
5206432206262,,,1
5206432206286,,,1
886955094697,,,1
886955094703,,,1
886955094734,,,1
886955756120,,,2
886955756236,,,1
886955756243,,,1
886955756779,,,1
886955772892,,,1
886955782525,,,1
886955782709,,,1
886955782969,,,2
886956175869,,,1
888753286250,,,1
888753791259,,,1
888753791273,,,1
4053986283581,,,1
4053986283611,,,1
633641962293,,,1
723567028323,,,1
195489631682,,,5
195489631736,,,24
195489631743,,,12
195489630371,,,4
195489630906,,,9
195489630890,,,11
195489630883,,,8
195489632122,,,39
195489629870,,,1
195489629863,,,1
195489633525,,,1
195489633518,,,3
195489633556,,,1
195489628521,,,20
195489629986,,,3
195489633488,,,4
195489633471,,,6
195489633464,,,3
195489629979,,,1
195489633549,,,1
195599787606,,,27
195600618202,,,2
195953876885,,,53
195953878629,,,4
195953878612,,,4
195953876342,,,2
195953878605,,,4
196080411789,,,1
196172939412,,,3
196172936732,,,169
196312143723,,,6
196312143464,,,2
196312142665,,,6
196312143525,,,22
196312143440,,,18
196312143839,,,2
196312143501,,,30
196313088511,,,53
196313085299,,,5
196313085282,,,1
196313093089,,,1
196313778351,,,30
196313778399,,,41
196313979994,,,1
196313979970,,,65
196313979963,,,71
196313980020,,,18
196315672299,,,3
196499539302,,,1
196500814411,,,1
196501271503,,,1
196501271480,,,4
196501271206,,,5
196501271183,,,3
196501663964,,,24
196501663957,,,43
196501663940,,,5
196501663919,,,5
196501663902,,,6
196501663896,,,1
196501664046,,,1
196501664039,,,1
196501756802,,,3
196502234576,,,6
196818663350,,,15
196818665828,,,2
196818665965,,,4
196818665958,,,20
196818665989,,,2
196818665569,,,12
196818665439,,,39
196818665170,,,21
196818665316,,,1
196818665309,,,23
196818665330,,,4
196818664661,,,2
196818664654,,,16
196818664791,,,4
196818664784,,,22
196818664814,,,5
196818664401,,,3
196818664395,,,19
196818664272,,,2
196818664265,,,43
196818664135,,,10
196818664005,,,14
196818663879,,,9
196818663091,,,17
196818662841,,,3
196818662834,,,14
196818662865,,,2
196818662971,,,1
196818662964,,,21
196818662575,,,12
196818662445,,,7
196818662193,,,5
196818662186,,,20
196818662216,,,1
196818662322,,,1
196818662315,,,14
196818662056,,,23
196818662087,,,1
196818661691,,,26
196818661660,,,6
196818661608,,,21
196818661646,,,17
196818661615,,,25
196818661677,,,11
196818661639,,,18
196818661578,,,28
196818661585,,,25
196818661561,,,72
196818661493,,,19
196818661516,,,106
196818661547,,,18
196818661530,,,7
196818661554,,,6
196818661486,,,20
196818661455,,,26
196818661462,,,22
196818661479,,,11
196818661400,,,28
196818661417,,,19
196818661431,,,15
196818661424,,,19
196818661394,,,21
196818661325,,,27
196818661301,,,28
196818661295,,,26
196818661387,,,23
196818661370,,,20
196818661189,,,28
196818661240,,,22
196818661233,,,24
196818661226,,,30
196818661264,,,28
196818661257,,,78
196818661141,,,27
196818661127,,,28
196818661158,,,28
196818661202,,,43
196818661103,,,19
196818720497,,,21
196819090971,,,1
196819090599,,,3
196819086837,,,3
196819076654,,,11
196819078467,,,1
196819084604,,,1
196819081993,,,2
196819081979,,,1
196819079990,,,1
196819083706,,,1
196819082716,,,1
196819082693,,,2
196819082709,,,1
196819082648,,,1
196819082495,,,1
196819082525,,,2
196819081436,,,7
196819084499,,,1
196821294329,,,1
196821893492,,,18
196821893416,,,1
196821893300,,,11
196821893409,,,6
196821893393,,,61
196821891986,,,8
196821889488,,,1
196821889518,,,2
196996515960,,,1
196996507330,,,1
196996507279,,,1
196996510651,,,1
196996510644,,,2
196996510637,,,1
196996510668,,,1
196996506739,,,1
196996568669,,,29
196996568782,,,20
196996568775,,,44
196996568768,,,7
196996568744,,,6
196996668505,,,12
196996671192,,,44
196996749853,,,5
196996749877,,,1
196996749914,,,5
196998515296,,,31
196998515272,,,2
196998515265,,,5
196998644606,,,20
196998647645,,,2
196998647638,,,1
196998647720,,,3
196998597476,,,6
197214725321,,,1
197214725406,,,1
197214726243,,,3
197214726236,,,2
197214726014,,,1
197214723600,,,2
197214721026,,,1
197214721033,,,1
197214719887,,,1
197214720784,,,1
197214720777,,,2
197214720760,,,1
197214720715,,,1
197214720708,,,5
197214720739,,,4
197214720586,,,3
197214720616,,,3
197214726533,,,1
197214726465,,,3
197214726496,,,1
197214719153,,,1
197214718569,,,1
197214898865,,,140
197214899039,,,2
197214899060,,,4
197214898575,,,4
197214898551,,,3
197214898544,,,11
197214898537,,,8
197214898568,,,31
197214898582,,,3
197214898698,,,2
197214898674,,,3
197214898667,,,14
197214898650,,,10
197214898681,,,4
197214898704,,,1
197214898452,,,1
197214898438,,,2
197214898421,,,9
197214898414,,,3
197214898445,,,1
197214898193,,,9
197214898186,,,17
197214898179,,,6
197214898209,,,7
197214898315,,,2
197214898308,,,2
197214898292,,,4
197214898322,,,1
197214898070,,,4
197214898063,,,13
197214898056,,,12
197214898087,,,5
