Barcode,Original (List) Price,Sale Price,Stock
3468336732748,,,1
3468336548349,,,2
3468336482711,,,1
3468336482438,,,2
3468336482667,,,1
3468336482407,,,2
3468336611302,,,1
3468336617540,,,1
3468336610107,,,1
3468336611036,,,1
3468336617168,,,1
3468336632659,,,3
3468336637500,,,2
3468336637470,,,1
3468336714072,,,3
3468336713990,,,2
3468336713945,,,1
3468336715949,,,2
3468336715864,,,1
3468336703533,,,1
3468336705995,,,1
3468336704257,,,2
3468336705537,,,2
3468336710562,,,1
3468336705759,,,2
3468336703526,,,2
4065452956912,,,3
4067983509162,,,1
197717213219,,,3
191459207451,,,1
191459207475,,,1
191459207499,,,3
843230022417,,,9
887350952094,,,18
887350619393,,,18
887350619591,,,1
887350619690,,,1
887350619812,,,2
887350619850,,,1
887350619911,,,2
191448237469,,,1
191448339514,,,18
0191448342859,,,2
0191448342873,,,1
191448413542,,,21
191448429659,,,22
191448429710,,,6
191448429918,,,2
191448430211,,,1
191448520141,,,6
191448540316,,,8
191448712232,,,14
191448710696,,,7
191448798151,,,10
191448980808,,,12
196265112647,,,10
196265119400,,,8
196265121687,,,9
196265180615,,,7
196265177882,,,9
196265356546,,,15
196265177981,,,2
196265173099,,,2
196265173112,,,2
196265183647,,,6
196265291915,,,36
196265286546,,,25
0196265284320,,,3
0196265284337,,,3
0196265299904,,,8
0196265343027,,,10
191459202890,,,1
191459202906,,,1
191459202876,,,2
191459202883,,,3
196265373406,,,9
196265460717,,,7
196265422845,,,13
196265473793,,,4
196265628803,,,2
196265689798,,,8
196265527915,,,6
196265690336,,,6
196265644018,,,3
0196265644131,,,6
0196265644186,,,29
0196265644506,,,20
0196265644513,,,19
0196265644582,,,5
0196265644599,,,1
196265703470,,,9
0196265644735,,,1
196265644834,,,20
196265717590,,,8
196265891405,,,4
196265891504,,,9
198445136320,,,5
198445178245,,,5
198445178580,,,1
198445128905,,,5
198445178658,,,4
198445186714,,,18
198445178665,,,7
198445178726,,,8
198445178764,,,20
198445178795,,,2
198445186752,,,3
198445178856,,,7
198445175831,,,10
198445175855,,,17
198445178924,,,27
198445230967,,,2
198445231179,,,14
198445231209,,,17
198445267543,,,18
198445267635,,,16
198445249655,,,17
198445376863,,,5
198445376887,,,5
198445376900,,,30
198445376986,,,9
198445378225,,,30
198445378249,,,19
198445378287,,,20
198445378423,,,5
4052605461133,,,1
4052605461157,,,1
4052605461171,,,1
4052605461195,,,1
4052605461218,,,1
4052605461232,,,2
4052605461256,,,2
4052605461270,,,1
4052605461294,,,1
191459230398,,,1
4061416285029,,,1
4061416285067,,,1
4061416285104,,,1
4061416285142,,,1
4061416285180,,,1
4061416285227,,,1
4061416285302,,,1
4066648495499,,,1
4066648500032,,,1
4066648500070,,,1
4066648500117,,,1
4066648500155,,,1
4066648500193,,,1
4066648500230,,,1
4067707032891,,,1
4067707033232,,,1
4067707033270,,,1
4067707033317,,,1
4067707033355,,,1
4067707033430,,,1
4067707033478,,,1
4067707033515,,,1
4067707033553,,,1
4067707077021,,,1
4067707077069,,,1
4067707077106,,,1
4067707077144,,,1
4067707077182,,,1
4067707077328,,,1
4067707077366,,,1
4067707077502,,,1
4067707623808,,,1
4067707623921,,,1
4067707623969,,,2
4067707624003,,,2
4067707624041,,,2
4067707624089,,,1
4067707624126,,,1
4067707691463,,,1
4067707691500,,,1
4067707691548,,,1
4067707691586,,,1
4067707691623,,,1
4067707691661,,,1
4067707691708,,,1
4067707691746,,,1
4067707897902,,,1
4067707897940,,,1
4067707897988,,,1
4067707898022,,,1
4067707898060,,,1
4067707898145,,,1
4067707898183,,,1
4067707898220,,,1
4067707898268,,,1
5056243300488,,,5
885429051457,,,16
885429051464,,,13
885429051471,,,16
885429051488,,,7
885429051495,,,19
885429051501,,,10
885429051532,,,18
885429051549,,,18
5702017153704,,,1
5702017194882,,,1
884991414820,,,3
5700068479750,,,1
5700068477503,,,1
5700068477527,,,1
5700068477534,,,1
5700068477541,,,2
5700068477558,,,1
5700068477565,,,2
5700068490274,,,1
5700068076713,,,2
5700068455518,,,1
5700068455556,,,1
5700068218083,,,1
5700068478890,,,2
5700068478906,,,2
5700068478913,,,2
5700068478838,,,2
5700068109275,,,2
5700068109282,,,1
5700068109299,,,2
5700068109305,,,2
5700068109206,,,2
5700068109213,,,2
5700068109220,,,1
5700068109237,,,2
5700068406534,,,1
5700068406541,,,1
5700068198224,,,1
5700068198231,,,1
5700068198248,,,1
5700068198255,,,1
5700068198279,,,1
5700068200552,,,1
5700068483276,,,2
5700068483160,,,1
5700068483177,,,2
5700068483191,,,2
5700068483214,,,1
5700068483238,,,1
5700068483245,,,1
5700068483405,,,2
5700068483290,,,2
5700068483306,,,1
5700068483313,,,1
5700068483320,,,1
5700068483337,,,1
5700068483344,,,1
5700068483375,,,1
5700068267111,,,2
5700068267159,,,1
5700068264417,,,1
5700068306117,,,1
5700068309743,,,2
5700068309750,,,2
5700068309774,,,1
5700068309798,,,3
5700068309804,,,1
5700068410678,,,1
5700068476919,,,1
5700068476926,,,2
5700068476933,,,2
5700068476940,,,2
5700068476841,,,2
5700068475844,,,2
5700068475851,,,2
5700068475899,,,2
5700068475905,,,1
5700068475912,,,1
5700068487403,,,1
5700068487427,,,1
5700068487434,,,1
5700068487526,,,1
5700068491882,,,1
5700068491899,,,1
5700068491912,,,1
5700068491929,,,2
5700068491936,,,1
5700068491943,,,1
889353156363,,,35
195501478615,,,2
198605289354,,,1
198605289316,,,1
198605289323,,,1
198605289408,,,1
190528948523,,,20
190528948608,,,10
885430104623,,,1
885430136617,,,8
196265168576,,,6
198445339707,,,4
196565731838,,,3
196565952202,,,1
196565952219,,,1
196565952226,,,1
196565952189,,,1
196565952127,,,1
196565952134,,,1
196565952141,,,1
196565952165,,,1
198605752933,,,3
198605752940,,,3
198605752957,,,2
198605752964,,,3
198605753022,,,3
198605752988,,,2
198605752995,,,3
198605753138,,,3
198605753145,,,3
198605753152,,,3
198605753169,,,3
198605753220,,,3
198605753183,,,2
198605753190,,,3
197634789118,,,1
197634789200,,,1
196565952523,,,1
196565952530,,,1
196565952585,,,1
198605753237,,,5
198605753244,,,4
198605753275,,,3
198605753282,,,3
198605753299,,,3
198605753305,,,3
198605753312,,,2
198605753565,,,5
198605753626,,,4
198605753619,,,3
198605753572,,,1
198605753534,,,3
198605753541,,,3
198605753558,,,1
197634301341,,,1
197634301365,,,1
197634791975,,,1
197634791920,,,1
197634792071,,,1
197634792156,,,1
197634792231,,,1
197634792187,,,1
197634792323,,,1
197634792330,,,1
197634792347,,,1
197634792354,,,1
197634792309,,,1
197634792248,,,1
197634792255,,,1
197634792262,,,1
197634792279,,,1
198605303104,,,1
198605755446,,,1
198605755453,,,1
198605755460,,,1
198605755477,,,1
198605755484,,,1
198605755491,,,1
198605755576,,,1
198605755590,,,1
198605755606,,,1
198605755613,,,1
198605755620,,,1
198605755637,,,1
198605756344,,,2
198605756351,,,1
198605756368,,,2
198605756375,,,2
198605756382,,,2
198605756399,,,2
198605756405,,,4
198605756542,,,4
198605756559,,,3
198605756566,,,3
198605756573,,,2
198605756580,,,2
198605756597,,,2
198605756603,,,4
192859088954,,,4
192859088978,,,1
192859093255,,,1
5700068360256,,,1
5700068360263,,,2
5700068377988,,,1
5700068378015,,,1
5700068378183,,,2
5700068378084,,,1
5700068378091,,,1
5700068378107,,,1
5700068378114,,,1
5700068378121,,,2
5700068362687,,,2
5700068362694,,,1
5700068362700,,,1
5700068362717,,,1
5700068363448,,,1
5700068363349,,,1
5700068363370,,,2
5700068363387,,,1
5700068363684,,,1
5700068373737,,,2
5700068373744,,,1
5700068376615,,,1
5700068376523,,,1
5700068376530,,,1
5700068376547,,,1
5700068376554,,,1
5700068376424,,,1
5700068376721,,,1
5700068376622,,,1
5700068376639,,,1
5700068376646,,,1
5700068376653,,,1
5700068376837,,,2
5700068376738,,,2
5700068376745,,,1
5700068373515,,,1
5700068373720,,,1
5700068373638,,,1
5700068375076,,,1
5700068374970,,,1
5700068374987,,,1
5700068374994,,,2
5700068375007,,,1
5700068375182,,,2
5700068375083,,,2
5700068375090,,,1
5700068375106,,,2
5700068375113,,,1
5700068375120,,,1
5700068377469,,,1
5700068377476,,,2
5700068377490,,,1
5700068377162,,,2
5700068377063,,,2
5700068377070,,,2
5700068377087,,,1
5700068377094,,,2
5700068360362,,,1
5700068367361,,,1
5700068374567,,,2
5700068374208,,,2
193648625152,,,38
193648810848,,,13
193648810855,,,11
193648810862,,,28
193648810879,,,34
193648563874,,,9
193650537849,,,12
193650537870,,,13
193650910086,,,1
193650910284,,,6
193650912080,,,1
193650915043,,,6
193650915050,,,8
194090403251,,,2
194090403268,,,1
194090403381,,,4
194090403404,,,4
194455646576,,,1
194455646569,,,3
194455646583,,,2
194456813939,,,10
194457436434,,,1
194457708135,,,13
194789393436,,,1
194789393559,,,1
635346897429,,,4
195599548955,,,24
195599548962,,,16
195599548979,,,33
195599548986,,,20
195599548993,,,29
195599549006,,,22
195599549013,,,2
195599549051,,,6
195599549068,,,1
195599549082,,,1
195599549112,,,3
195599549174,,,19
195599549181,,,12
191448182714,,,1
191448182721,,,1
197717975179,,,1
199012127857,,,1
199012127864,,,2
199012127871,,,3
191459125175,,,4
191459125182,,,3
191459125236,,,4
191459125243,,,5
191448410442,,,1
0191448732995,,,3
0191448733022,,,3
198445206931,,,1
198445206948,,,1
198445206955,,,2
198445206900,,,1
198445197727,,,3
198445197734,,,3
198445197741,,,3
198445197758,,,3
198445197765,,,1
198445197772,,,1
198445197710,,,3
198445337291,,,2
198445337307,,,2
198445337314,,,3
198445337321,,,3
198445337338,,,2
198445337345,,,2
198445207013,,,3
198445207020,,,1
198445207037,,,2
198445270000,,,2
198445270017,,,3
198445270024,,,3
198445270031,,,2
198445270048,,,2
198445270055,,,3
198445269998,,,3
191448734371,,,3
191448734388,,,3
191448734395,,,2
191448734401,,,3
191448734418,,,2
191448734425,,,3
191448734449,,,2
0191448734562,,,3
0191448734579,,,2
0191448734586,,,2
0191448734609,,,3
198445159961,,,3
198445159978,,,3
198445159985,,,3
198445159992,,,2
198445160004,,,3
198445160011,,,2
198445207051,,,1
198445207068,,,3
198445207075,,,1
198445207082,,,5
198445207112,,,1
0196265549955,,,2
198445337710,,,1
198445337727,,,3
198445337734,,,3
198445337741,,,3
198445337758,,,2
198445337765,,,3
198445207136,,,3
198445207143,,,3
198445207150,,,2
198445207167,,,2
198445207174,,,3
198445207181,,,1
198445207198,,,3
198445207211,,,3
198445270154,,,3
198445270161,,,3
198445270178,,,3
198445270185,,,3
198445270192,,,3
198445270208,,,3
198445270253,,,2
198445270260,,,1
198445270277,,,1
198445270284,,,2
198445270291,,,1
198445270246,,,2
198445341137,,,2
198445341144,,,3
198445341151,,,3
198445341168,,,3
198445341175,,,2
198445341182,,,3
198445341120,,,3
198445270314,,,2
198445270321,,,3
198445270338,,,3
198445270345,,,3
198445270352,,,3
198445270369,,,2
198445353567,,,3
198445353574,,,3
198445353581,,,3
198445353598,,,1
198445353604,,,3
198445353611,,,3
196265255573,,,2
196265255580,,,3
196265255597,,,1
196265255603,,,3
196265255610,,,3
196265255627,,,2
198445304941,,,3
198445304958,,,3
198445304965,,,3
198445304972,,,3
198445304989,,,2
198445304996,,,2
191448873414,,,2
191448873421,,,2
191448880214,,,4
196265749430,,,2
196265749454,,,1
191448880283,,,3
196265749508,,,2
191448883420,,,2
191448883468,,,2
196265749584,,,1
196265749614,,,1
196265749683,,,1
196265749690,,,1
196265749706,,,2
0196265386994,,,1
196265443734,,,2
196265446728,,,3
0196265601486,,,1
0196265601509,,,1
0196265601516,,,1
0196265584536,,,1
0196265584550,,,1
198445358180,,,3
198445358197,,,2
198445358203,,,2
198445358210,,,3
198445358227,,,2
198445358234,,,3
198445358364,,,2
198445358371,,,2
198445358388,,,3
198445358395,,,3
198445358401,,,3
198445358418,,,3
198445358357,,,2
191459179895,,,3
191459179901,,,2
198445228315,,,2
198445228322,,,2
198445228346,,,3
